signal,btc,usdt,time,price,quantity,commission,fillsLength
0,0,17.4318817,,,,,
1,0.00073,0,1.67664E+12,23879.29,,,1
-1,0.0,16.9104938,1677258059864,23165.06000000,0.00073000,0.00000000,1
1,0.00072,0.1518025999999999,1677405655922,23275.96000000,0.00072000,0.00000000,1
-1,0.0,16.8787634,1677409255835,23231.89000000,0.00072000,0.00000000,2
1,0.00071,0.21158439999999956,1677438058290,23474.90000000,0.00071000,0.00000000,1
-1,0.0,16.7256519,1677528057447,23259.25000000,0.00071000,0.00000000,1
1,0.00071,0.15521749999999912,1677531658136,23338.64000000,0.00071000,0.00000000,1
-1,0.0,16.6413536,1677571287941,23219.91000000,0.00071000,0.00000000,1
1,0.00071,0.11725839999999721,1677574858016,23273.37000000,0.00071000,0.00000000,2
-1,0.0,16.6343434,1677578456539,23263.50000000,0.00071000,0.00000000,1
1,0.00071,0.04263029999999901,1677582076905,23368.61000000,0.00071000,0.00000000,1
-1,0.0,16.554248299999998,1677618057627,23255.80000000,0.00071000,0.00000000,1
1,0.0007,0.16074529999999854,1677793476915,23419.29000000,0.00070000,0.00000000,1
-1,0.0,15.728073299999998,1677808881395,22239.04000000,0.00070000,0.00000000,1
